Year	Month	Date	Production	Product2014
1944	May	1944.38	504.19	
1944	June	1944.46	558.00	
1944	July	1944.54	499.35	
1944	Aug	1944.63	457.74	
1944	Sept	1944.71	435.00	
1944	Oct	1944.79	396.77	
1944	Nov	1944.88	361.00	
1944	Dec	1944.96	357.10	
1945	Jan	1945.04	378.39	
1945	Feb	1945.13	410.36	
1945	March	1945.21	427.74	
1945	April	1945.29	478.00	
1945	May	1945.38	542.90	
1945	June	1945.46	576.00	
1945	July	1945.54	525.48	
1945	Aug	1945.63	489.68	
1945	Sept	1945.71	465.00	
1945	Oct	1945.79	417.10	
1945	Nov	1945.88	366.00	
1945	Dec	1945.96	352.26	
1946	Jan	1946.04	375.48	
1946	Feb	1946.13	397.50	
1946	March	1946.21	415.16	
1946	April	1946.29	472.00	
1946	May	1946.38	541.94	
1946	June	1946.46	570.00	
1946	July	1946.54	517.74	
1946	Aug	1946.63	484.84	
1946	Sept	1946.71	442.00	
1946	Oct	1946.79	412.26	
1946	Nov	1946.88	376.00	
1946	Dec	1946.96	362.90	
1947	Jan	1947.04	390.00	
1947	Feb	1947.13	417.86	
1947	March	1947.21	436.45	
1947	April	1947.29	474.00	
1947	May	1947.38	538.06	
1947	June	1947.46	581.00	
1947	July	1947.54	527.42	
1947	Aug	1947.63	472.26	
1947	Sept	1947.71	433.00	
1947	Oct	1947.79	396.77	
1947	Nov	1947.88	353.00	
1947	Dec	1947.96	345.48	
1948	Jan	1948.04	357.10	
1948	Feb	1948.13	381.72	
1948	March	1948.21	401.61	
1948	April	1948.29	434.00	
1948	May	1948.38	497.42	
1948	June	1948.46	533.00	
1948	July	1948.54	473.23	
1948	Aug	1948.63	443.23	
1948	Sept	1948.71	414.00	
1948	Oct	1948.79	373.55	
1948	Nov	1948.88	340.00	
1948	Dec	1948.96	345.48	
1949	Jan	1949.04	361.94	
1949	Feb	1949.13	387.86	
1949	March	1949.21	419.03	
1949	April	1949.29	457.00	
1949	May	1949.38	519.68	
1949	June	1949.46	546.00	
1949	July	1949.54	485.81	
1949	Aug	1949.63	477.10	
1949	Sept	1949.71	447.00	
1949	Oct	1949.79	410.32	
1949	Nov	1949.88	381.00	
1949	Dec	1949.96	382.26	
1950	Jan	1950.04	388.06	
1950	Feb	1950.13	411.43	
1950	March	1950.21	440.32	
1950	April	1950.29	464.00	
1950	May	1950.38	511.94	
1950	June	1950.46	562.00	
1950	July	1950.54	506.13	
1950	Aug	1950.63	476.13	
1950	Sept	1950.71	440.00	
1950	Oct	1950.79	408.39	
1950	Nov	1950.88	373.00	
1950	Dec	1950.96	362.90	
1951	Jan	1951.04	373.55	
