Year	Month	Date	Production	Product2014
2001	Sept	2001.71	476.00	
2001	Oct	2001.79	467.42	
2001	Nov	2001.88	474.00	
2001	Dec	2001.96	484.84	
2002	Jan	2002.04	487.74	
2002	Feb	2002.13	507.86	
2002	March	2002.21	515.81	
2002	April	2002.29	518.00	
2002	May	2002.38	519.68	
2002	June	2002.46	503.00	
2002	July	2002.54	502.26	
2002	Aug	2002.63	498.39	
2002	Sept	2002.71	488.00	
2002	Oct	2002.79	490.65	
2002	Nov	2002.88	498.00	
2002	Dec	2002.96	507.10	
2003	Jan	2003.04	517.74	
2003	Feb	2003.13	516.43	
2003	March	2003.21	527.42	
2003	April	2003.29	521.00	
2003	May	2003.38	521.61	
2003	June	2003.46	529.00	
2003	July	2003.54	540.00	
2003	Aug	2003.63	531.29	
2003	Sept	2003.71	534.00	
2003	Oct	2003.79	528.39	
2003	Nov	2003.88	506.00	
2003	Dec	2003.96	513.87	
2004	Jan	2004.04	516.77	
2004	Feb	2004.13	515.17	
2004	March	2004.21	525.48	
2004	April	2004.29	531.00	
2004	May	2004.38	529.35	
2004	June	2004.46	530.00	
2004	July	2004.54	524.52	
2004	Aug	2004.63	514.84	
2004	Sept	2004.71	506.00	
2004	Oct	2004.79	509.03	
2004	Nov	2004.88	508.00	
2004	Dec	2004.96	515.81	
2005	Jan	2005.04	528.39	
2005	Feb	2005.13	547.50	
2005	March	2005.21	545.81	
2005	April	2005.29	569.00	
2005	May	2005.38	577.74	
2005	June	2005.46	574.00	
2005	July	2005.54	560.32	
2005	Aug	2005.63	559.35	
2005	Sept	2005.71	550.00	
2005	Oct	2005.79	544.84	
2005	Nov	2005.88	546.00	
2005	Dec	2005.96	554.52	
2006	Jan	2006.04	573.87	
2006	Feb	2006.13	580.71	
2006	March	2006.21	582.58	
2006	April	2006.29	588.00	
2006	May	2006.38	594.19	
2006	June	2006.46	601.00	
2006	July	2006.54	590.32	
2006	Aug	2006.63	570.00	
2006	Sept	2006.71	578.00	
2006	Oct	2006.79	570.00	
2006	Nov	2006.88	585.00	
2006	Dec	2006.96	603.87	
2007	Jan	2007.04	619.35	
2007	Feb	2007.13	617.14	
2007	March	2007.21	624.19	
2007	April	2007.29	636.00	
2007	May	2007.38	632.90	
2007	June	2007.46	638.00	
2007	July	2007.54	633.87	
2007	Aug	2007.63	628.06	
2007	Sept	2007.71	620.00	
2007	Oct	2007.79	617.42	
2007	Nov	2007.88	626.00	
2007	Dec	2007.96	627.10	
2008	Jan	2008.04	635.81	
2008	Feb	2008.13	625.86	
2008	March	2008.21	624.19	
2008	April	2008.29	638.00	
2008	May	2008.38	655.16	
2008	June	2008.46	653.00	
2008	July	2008.54	647.42	
2008	Aug	2008.63	633.87	
2008	Sept	2008.71	630.00	
2008	Oct	2008.79	630.00	
2008	Nov	2008.88	628.00	
2008	Dec	2008.96	633.87	
2009	Jan	2009.04	638.71	
2009	Feb	2009.13	645.00	
2009	March	2009.21	651.29	
2009	April	2009.29	664.00	
2009	May	2009.38	675.48	
2009	June	2009.46	675.00	
2009	July	2009.54	669.68	
2009	Aug	2009.63	656.13	
2009	Sept	2009.71	651.00	
2009	Oct	2009.79	638.71	
2009	Nov	2009.88	639.00	
2009	Dec	2009.96	654.19	
2010	Jan	2010.04	658.06	
2010	Feb	2010.13	671.79	
2010	March	2010.21	687.10	
2010	April	2010.29	703.00	
2010	May	2010.38	717.10	
2010	June	2010.46	718.00	
2010	July	2010.54	701.61	
2010	Aug	2010.63	679.35	
2010	Sept	2010.71	677.00	
2010	Oct	2010.79	666.77	
2010	Nov	2010.88	662.00	
2010	Dec	2010.96	676.45	
2011	Jan	2011.04	688.06	
2011	Feb	2011.13	698.57	
2011	March	2011.21	699.68	
2011	April	2011.29	708.00	
2011	May	2011.38	719.03	
2011	June	2011.46	713.00	
2011	July	2011.54	689.03	
2011	Aug	2011.63	687.10	
2011	Sept	2011.71	686.00	
2011	Oct	2011.79	687.10	
2011	Nov	2011.88	688.00	
2011	Dec	2011.96	698.71	
2012	Jan	2012.04	716.13	
2012	Feb	2012.13	725.17	
2012	March	2012.21	742.26	
2012	April	2012.29	750.00	
2012	May	2012.38	740.32	
2012	June	2012.46	737.00	
2012	July	2012.54	719.03	
2012	Aug	2012.63	727.74	
2012	Sept	2012.71	711.00	
2012	Oct	2012.79	720.00	
2012	Nov	2012.88	729.00	
2012	Dec	2012.96	725.81	
2013	Jan	2013.04	753.87	
2013	Feb	2013.13	761.79	
2013	March	2013.21	768.39	
2013	April	2013.29	765.00	
2013	May	2013.38	772.26	
2013	June	2013.46	770.00	
2013	July	2013.54	741.29	
2013	Aug	2013.63	755.81	
2013	Sept	2013.71	739.00	
2013	Oct	2013.79	735.48	
2013	Nov	2013.88	733.00	
2013	Dec	2013.96	743.23	
2014	Jan	2014.04		763.55
2014	Feb	2014.13		767.14
2014	March	2014.21		770.32
2014	April	2014.29		789.00
2014	May	2014.38		797.42
2014	June	2014.46		795.00
2014	July	2014.54		802.26
2014	Aug	2014.63		806.13
2014	Sept	2014.71		790.00
2014	Oct	2014.79		787.74
2014	Nov	2014.88		
2014	Dec	2014.96		
